#,Enroll_no,Application_no,year_term_code,course_code,branch_code,semester_code,college_code,acad_fee,dev_fee,univ_fee,caution money,univ_enroll_fee,exam_fee,excess_fee,late_fee,reg_fee,other_fee,misc_fee,total_fee,paid_status,payment mode,utr/upi/neft/DD number,via bank name/ paytm / phonepay/ googlepay etc,payment date,trans_id,dt_insrt,by_insrt,dt_updt,by_updt,Remark1,Remark2,LateFee
1,DE13299,8081600010,Jan-16,BE,ECIENG_FT,6SEM,808,40000,32000,6211,0,0,,,290,,,,78501,Y,,,,,"16010447343813625731,",03-08-2014 00:00,ADMIN,04-01-2016 14:29,,,,0
2,DE1200309,8081600013,Jan-16,BE,ITENG_FT,8SEM,808,40000,,,,,,,,,,,40000,Y,,,,,"16010441750147932426,",,ADMIN,04-01-2016 14:30,markcom,,,0
3,DE1200241,8081600019,Jan-16,BE,ECIENG_FT,8SEM,808,40000,,,,,,,250,,,,40250,Y,,,,,"16010402787150081577,",09-06-2012 00:00,ADMIN,04-01-2016 14:36,markcom,,,0
4,DE13053,8081600023,Jan-16,BE,CIVIENG_FT,8SEM,808,40000,,,,,,,250,,,,40250,Y,,,,,"16010435160151134125,",,ADMIN,04-01-2016 14:48,,,,0
5,DE1200369,8081600039,Jan-16,BE,ITENG_FT,8SEM,808,40000,,,,,,,290,,,,40290,Y,,,,,"16010402247262283420,",05-09-2013 00:00,ADMIN,04-01-2016 15:02,,,,0
6,DE13020,8081600078,Jan-16,BE,MECHENG_FT,6SEM,808,40000,32000,6211,,,,,,,,,78211,Y,,,,,"16010416823201254898,",,ADMIN,04-01-2016 15:14,SUDJAI2810,,,0
7,DE1200145,8081600084,Jan-16,BE,COMPENG_FT,8SEM,808,,,,4000,,,,,150,,,4150,Y,,,,,"16010429370198933993,",,ADMIN,04-01-2016 15:14,,,,0
8,DE14428,8081600118,Jan-16,BE,ITENG_FT,4SEM,808,40000,,,,,2500,,,,,,42500,Y,,,,,"16010445890438276838,",,ADMIN,04-01-2016 15:40,,,,0
9,DE14172,8081600115,Jan-16,BE,COMPENG_FT,4SEM,808,,,,,1500,,,,,,,1500,Y,,,,,"16010447917902362022,",,ADMIN,04-01-2016 15:40,,,,0
10,DE1200141,8081600002,Jan-16,BE,COMPENG_FT,8SEM,808,,,,,,,,,,,,0,Y,,,,,"16010422653933499359,",,ADMIN,04-01-2016 15:47,,,,0
11,DE1200105,8081600147,Jan-16,BE,COMPENG_FT,8SEM,808,,,,,,,,,,,,0,Y,,,,,"16010427907188170974,",04-05-2012 00:00,ADMIN,04-01-2016 16:00,,,,0
12,DE13375,8081600149,Jan-16,BE,ECTELEG_FT,6SEM,808,,,,,,,,,,,,0,Y,,,,,"16010446093254398772,",05-03-2014 00:00,ADMIN,04-01-2016 16:01,,,,0
